uBench  | BENCH: 2470562 -56552
uBench  | BENCH: 2465619 -90931
uBench  | BENCH: 2589444 -1485
uBench  | BENCH: 2469012 -32471
uBench  | BENCH: 2468225 -64244
uBench  | BENCH: 2468500 -95742
uBench  | BENCH: 2589019 -6721
uBench  | BENCH: 2471094 -35625
uBench  | BENCH: 2467225 -68398
uBench  | BENCH: 2468700 -99696
uBench  | BENCH: 2589006 -10688
uBench  | BENCH: 2520550 9864
uBench  | BENCH: 2469337 -20797
uBench  | BENCH: 2469863 -50932
uBench  | BENCH: 2466025 -84905
uBench  | BENCH: 2589650 4747
uBench  | BENCH: 2469481 -25770
uBench  | BENCH: 2469788 -55980
uBench  | BENCH: 2466518 -89460
uBench  | BENCH: 2589144 -314
uBench  | BENCH: 2470075 -30237
uBench  | BENCH: 2469313 -60922
uBench  | BENCH: 2465787 -95133
uBench  | BENCH: 2590481 -4650
uBench  | BENCH: 2469338 -35310
uBench  | BENCH: 2467256 -68052
uBench  | BENCH: 2468219 -99831
uBench  | BENCH: 2518325 -81504
uBench  | BENCH: 2590500 8998
uBench  | BENCH: 2471031 -19969
uBench  | BENCH: 2468531 -51436
uBench  | BENCH: 2466338 -85096
uBench  | BENCH: 2589937 4843
uBench  | BENCH: 2470550 -24605
uBench  | BENCH: 2815888 291285
uBench  | BENCH: 2121994 -86719
uBench  | BENCH: 2592481 5764
uBench  | BENCH: 2472275 -21959
uBench  | BENCH: 2469775 -52182
uBench  | BENCH: 2465719 -86461
uBench  | BENCH: 2589493 3034
uBench  | BENCH: 2470219 -26745
uBench  | BENCH: 2470213 -56530
uBench  | BENCH: 2518468 -38060
uBench  | BENCH: 2467425 -70633
uBench  | BENCH: 2471925 -98706
uBench  | BENCH: 2591838 -6866
uBench  | BENCH: 2470769 -36095
uBench  | BENCH: 2468462 -67631
uBench  | BENCH: 2470681 -96948
uBench  | BENCH: 2592732 -4214
uBench  | BENCH: 2470293 -33919
uBench  | BENCH: 2468500 -65417
uBench  | BENCH: 2469069 -96346
uBench  | BENCH: 2590531 -5813
uBench  | BENCH: 2470463 -35348
uBench  | BENCH: 2468106 -67240
uBench  | BENCH: 2644313 77075
uBench  | BENCH: 2352850 -70073
uBench  | BENCH: 2522212 -47859
uBench  | BENCH: 2466731 -81126
uBench  | BENCH: 2590950 9826
uBench  | BENCH: 2470675 -19497
uBench  | BENCH: 2470469 -49026
uBench  | BENCH: 2466506 -82518
uBench  | BENCH: 2592694 10178
uBench  | BENCH: 2816138 326318
uBench  | BENCH: 2472943 299263
uBench  | BENCH: 2122913 -77822
uBench  | BENCH: 2588737 10917
uBench  | BENCH: 2470419 -18662
uBench  | BENCH: 2471438 -47222
uBench  | BENCH: 2466687 -80533
uBench  | BENCH: 2591600 11069
uBench  | BENCH: 2470163 -18766
uBench  | BENCH: 2519225 461
uBench  | BENCH: 2470312 -29225
uBench  | BENCH: 2470550 -58673
uBench  | BENCH: 2466581 -92090
uBench  | BENCH: 2645425 53337
uBench  | BENCH: 2350382 -96279
uBench  | BENCH: 2938268 341991
uBench  | BENCH: 2472600 314593
uBench  | BENCH: 2125288 -60117
uBench  | BENCH: 2466731 -93384
uBench  | BENCH: 2560269 -33113
uBench  | BENCH: 2467900 -65211
uBench  | BENCH: 2470775 -94434
uBench  | BENCH: 2678356 83924
uBench  | BENCH: 2352569 -63505
uBench  | BENCH: 2468394 -95109
uBench  | BENCH: 2521543 -73564
uBench  | BENCH: 2469625 -103937
uBench  | BENCH: 2939725 335790
uBench  | BENCH: 2125275 -38933
uBench  | BENCH: 2468825 -70106
uBench  | BENCH: 2468932 -101172
uBench  | BENCH: 2591537 -9633
uBench  | BENCH: 2470531 -39100
uBench  | BENCH: 2467807 -71291
uBench  | BENCH: 2468150 -103139
uBench  | BENCH: 2676143 73006
uBench  | BENCH: 2352000 -74992
uBench  | BENCH: 2471569 -103421
uBench  | BENCH: 2677138 73719
uBench  | BENCH: 2352981 -73298
uBench  | BENCH: 2471412 -101884
uBench  | BENCH: 2521869 -80013
uBench  | BENCH: 2590663 10652
uBench  | BENCH: 2556068 66722
uBench  | BENCH: 2351157 -82119
uBench  | BENCH: 2559406 -22711
uBench  | BENCH: 2470325 -52384
uBench  | BENCH: 2464800 -87582
uBench  | BENCH: 2590650 3070
uBench  | BENCH: 2468994 -27934
uBench  | BENCH: 2470425 -57507
uBench  | BENCH: 2466375 -91130
uBench  | BENCH: 2589681 -1447
uBench  | BENCH: 2817919 316474
uBench  | BENCH: 2473093 289569
uBench  | BENCH: 2121382 -89047
uBench  | BENCH: 2937218 348173
uBench  | BENCH: 2053463 -98362
uBench  | BENCH: 2592306 -6054
uBench  | BENCH: 2556625 50573
uBench  | BENCH: 2351100 -98325
uBench  | BENCH: 2559750 -38573
uBench  | BENCH: 2469744 -68827
uBench  | BENCH: 2468056 -100769
uBench  | BENCH: 2590100 -10667
uBench  | BENCH: 2469075 -41590
uBench  | BENCH: 2468163 -73425
uBench  | BENCH: 2468500 -104923
uBench  | BENCH: 2590362 -14559
uBench  | BENCH: 2469656 -44901
uBench  | BENCH: 2468694 -76205
uBench  | BENCH: 2587900 11697
uBench  | BENCH: 2469144 -19157
uBench  | BENCH: 2520031 876
uBench  | BENCH: 2470463 -28659
uBench  | BENCH: 2468681 -59976
uBench  | BENCH: 2466969 -93005
uBench  | BENCH: 2938018 345015
uBench  | BENCH: 2472800 317817
uBench  | BENCH: 2124963 -57218
uBench  | BENCH: 2467206 -90010
uBench  | BENCH: 2590225 217
uBench  | BENCH: 2555919 56138
uBench  | BENCH: 2351475 -92385
uBench  | BENCH: 2589806 -2577
uBench  | BENCH: 2556106 53531
uBench  | BENCH: 2352125 -94342
uBench  | BENCH: 2559419 -34921
uBench  | BENCH: 2468781 -66138
uBench  | BENCH: 2488869 -77267
uBench  | BENCH: 2588575 11310
uBench  | BENCH: 2471388 -17300
uBench  | BENCH: 2555600 38302
uBench  | BENCH: 2556387 94691
uBench  | BENCH: 2354950 -50357
uBench  | BENCH: 2466831 -83524
uBench  | BENCH: 2645313 61791
uBench  | BENCH: 2352144 -86063
uBench  | BENCH: 2590381 4320
uBench  | BENCH: 2555812 60134
uBench  | BENCH: 2351063 -88801
uBench  | BENCH: 2645087 56288
uBench  | BENCH: 2352507 -91203
uBench  | BENCH: 2559962 -31239
uBench  | BENCH: 2471613 -59624
uBench  | BENCH: 2518437 -41185
uBench  | BENCH: 2469263 -71920
uBench  | BENCH: 2644781 72863
uBench  | BENCH: 2352731 -74404
uBench  | BENCH: 2468894 -105508
uBench  | BENCH: 2590931 -14575
uBench  | BENCH: 2817406 302833
uBench  | BENCH: 2123769 -73396
uBench  | BENCH: 2470175 -103219
uBench  | BENCH: 2590300 -12917
uBench  | BENCH: 2468650 -44265
uBench  | BENCH: 2467969 -76294
uBench  | BENCH: 2587712 11420
uBench  | BENCH: 2470919 -17659
uBench  | BENCH: 2468538 -49119
uBench  | BENCH: 2467025 -82092
uBench  | BENCH: 2523268 -58822
uBench  | BENCH: 2466138 -92682
uBench  | BENCH: 2590125 -2555
uBench  | BENCH: 2469656 -32897
uBench  | BENCH: 2467238 -65657
uBench  | BENCH: 2469837 -95818
uBench  | BENCH: 2590381 -5435
uBench  | BENCH: 2554650 49217
uBench  | BENCH: 2351350 -99431
uBench  | BENCH: 2645000 45571
uBench  | BENCH: 2352207 -102220
uBench  | BENCH: 2645337 43119
uBench  | BENCH: 2351038 -105841
uBench  | BENCH: 2675393 69554
uBench  | BENCH: 2353588 -76856
uBench  | BENCH: 2589187 12333
uBench  | BENCH: 2397994 -89671
uBench  | BENCH: 2647375 57706
uBench  | BENCH: 2351156 -91136
uBench  | BENCH: 2589950 -1184
uBench  | BENCH: 2470469 -30713
uBench  | BENCH: 2471488 -59223
uBench  | BENCH: 2465125 -94096
uBench  | BENCH: 2561093 -33001
uBench  | BENCH: 2467444 -65555
uBench  | BENCH: 2559325 -6228
uBench  | BENCH: 2470194 -36032
uBench  | BENCH: 2469019 -67011
uBench  | BENCH: 2469375 -97634
uBench  | BENCH: 2591068 -6564
uBench  | BENCH: 2470444 -36118
uBench  | BENCH: 2468156 -67960
uBench  | BENCH: 2519775 -48183
uBench  | BENCH: 2466150 -82031
uBench  | BENCH: 2590100 8071
uBench  | BENCH: 2556894 64967
uBench  | BENCH: 2350200 -84831
uBench  | BENCH: 2560838 -23991
uBench  | BENCH: 2471181 -52808
uBench  | BENCH: 2466856 -85950
uBench  | BENCH: 2590869 4921
uBench  | BENCH: 2470075 -25002
uBench  | BENCH: 2469737 -55263
uBench  | BENCH: 2467225 -88036
uBench  | BENCH: 2645588 57554
uBench  | BENCH: 2352625 -89819
uBench  | BENCH: 2590362 545
uBench  | BENCH: 2470700 -28753
uBench  | BENCH: 2517063 -11688
uBench  | BENCH: 2470894 -40792
uBench  | BENCH: 2467818 -72972
uBench  | BENCH: 2469588 -103382
uBench  | BENCH: 2591056 -12324
uBench  | BENCH: 2554344 42022
uBench  | BENCH: 2556506 98530
uBench  | BENCH: 2355213 -46255
uBench  | BENCH: 2468312 -77941
uBench  | BENCH: 2590175 12236
uBench  | BENCH: 2470531 -17231
uBench  | BENCH: 2470550 -46679
uBench  | BENCH: 2468944 -77733
uBench  | BENCH: 2938094 360363
uBench  | BENCH: 2125556 -14079
uBench  | BENCH: 2469681 -44396
uBench  | BENCH: 2520857 -23537
uBench  | BENCH: 2470631 -52904
uBench  | BENCH: 2465112 -87790
uBench  | BENCH: 2590919 3131
uBench  | BENCH: 2471150 -25717
uBench  | BENCH: 2470919 -54796
uBench  | BENCH: 2465969 -88825
uBench  | BENCH: 2646262 57439
uBench  | BENCH: 2350706 -91853
uBench  | BENCH: 2589188 -2663
uBench  | BENCH: 2555375 52714
uBench  | BENCH: 2351925 -95359
uBench  | BENCH: 2559837 -35520
uBench  | BENCH: 2467950 -67568
uBench  | BENCH: 2469438 -98128
uBench  | BENCH: 2675087 76961
uBench  | BENCH: 2489907 66870
uBench  | BENCH: 2351700 -81428
uBench  | BENCH: 2589262 7836
uBench  | BENCH: 2469388 -22774
uBench  | BENCH: 2470162 -52610
uBench  | BENCH: 2467013 -85595
uBench  | BENCH: 2589887 4294
uBench  | BENCH: 2556063 60359
uBench  | BENCH: 2350431 -89208
uBench  | BENCH: 2561037 -28169
uBench  | BENCH: 2470644 -57523
uBench  | BENCH: 2466413 -91108
uBench  | BENCH: 2590487 -619
uBench  | BENCH: 2555281 54664
uBench  | BENCH: 2350244 -95090
uBench  | BENCH: 2676125 81037
uBench  | BENCH: 2490750 71789
uBench  | BENCH: 2351819 -76390
uBench  | BENCH: 2559300 -17088
uBench  | BENCH: 2555981 38895
uBench  | BENCH: 2556044 94941
uBench  | BENCH: 2354750 -50307
uBench  | BENCH: 2466250 -84055
uBench  | BENCH: 2589825 5772
uBench  | BENCH: 2471006 -23220
uBench  | BENCH: 2469875 -53343
uBench  | BENCH: 2466194 -87147
uBench  | BENCH: 2674631 87486
uBench  | BENCH: 2440600 28088
uBench  | BENCH: 2470200 -1710
uBench  | BENCH: 2471050 -30658
uBench  | BENCH: 2470781 -59875
uBench  | BENCH: 2519875 -39998
uBench  | BENCH: 2467550 -72446
uBench  | BENCH: 2468588 -103856
uBench  | BENCH: 2589656 -14198
uBench  | BENCH: 2469413 -44783
uBench  | BENCH: 2468325 -76456
uBench  | BENCH: 2589556 13102
uBench  | BENCH: 2470750 -16146
uBench  | BENCH: 2470831 -45313
uBench  | BENCH: 2468638 -76673
uBench  | BENCH: 2587887 11216
uBench  | BENCH: 2470088 -18694
uBench  | BENCH: 2468831 -49861
uBench  | BENCH: 2466756 -83103
uBench  | BENCH: 2589406 6305
uBench  | BENCH: 2469944 -23749
uBench  | BENCH: 2519306 -4441
uBench  | BENCH: 2471075 -33364
uBench  | BENCH: 2466432 -66930
uBench  | BENCH: 2469381 -97547
uBench  | BENCH: 2589781 -7764
uBench  | BENCH: 2468819 -38943
uBench  | BENCH: 2467950 -70991
uBench  | BENCH: 2468325 -102664
uBench  | BENCH: 2589262 -13400
uBench  | BENCH: 2469800 -43598
uBench  | BENCH: 2466875 -76721
uBench  | BENCH: 2589419 12700
uBench  | BENCH: 2470056 -17242
uBench  | BENCH: 2469157 -48083
uBench  | BENCH: 2466143 -81938
uBench  | BENCH: 2592082 10146
uBench  | BENCH: 2401050 -88802
uBench  | BENCH: 2592131 3331
uBench  | BENCH: 2470981 -25686
uBench  | BENCH: 2470225 -55459
uBench  | BENCH: 2466675 -88782
uBench  | BENCH: 2590794 2014
uBench  | BENCH: 2470819 -27165
uBench  | BENCH: 2471187 -55976
uBench  | BENCH: 2465438 -90536
uBench  | BENCH: 2589425 -1109
uBench  | BENCH: 2469912 -31195
uBench  | BENCH: 2470019 -61174
uBench  | BENCH: 2466219 -94953
uBench  | BENCH: 2589650 -5301
uBench  | BENCH: 2469706 -35593
uBench  | BENCH: 2468119 -67472
uBench  | BENCH: 2521206 -46264
uBench  | BENCH: 2468306 -77956
uBench  | BENCH: 2587744 9790
uBench  | BENCH: 2470856 -19352
uBench  | BENCH: 2468650 -50700
uBench  | BENCH: 2466125 -84573
uBench  | BENCH: 2590206 5635
uBench  | BENCH: 2469275 -25088
uBench  | BENCH: 2469625 -55461
uBench  | BENCH: 2466138 -89321
uBench  | BENCH: 2591044 1725
uBench  | BENCH: 2470075 -28198
uBench  | BENCH: 2468375 -59821
uBench  | BENCH: 2466362 -93457
uBench  | BENCH: 2590456 -2999
