uBench  | BENCH: 2470500 -15114
uBench  | BENCH: 2468887 -46225
uBench  | BENCH: 2466119 -80104
uBench  | BENCH: 2590231 10129
uBench  | BENCH: 2469944 -19925
uBench  | BENCH: 2555506 35583
uBench  | BENCH: 2557238 92823
uBench  | BENCH: 2355275 -51900
uBench  | BENCH: 2467156 -84742
uBench  | BENCH: 2589606 4866
uBench  | BENCH: 2469731 -25401
uBench  | BENCH: 2470463 -54936
uBench  | BENCH: 2866325 311391
uBench  | BENCH: 2123562 -65045
uBench  | BENCH: 2472113 -92930
uBench  | BENCH: 2590381 -2547
uBench  | BENCH: 2469806 -32739
uBench  | BENCH: 2468813 -63924
uBench  | BENCH: 2558937 -4985
uBench  | BENCH: 2554432 49449
uBench  | BENCH: 2352193 -98356
uBench  | BENCH: 2589700 -8654
uBench  | BENCH: 2470350 -38302
uBench  | BENCH: 2467857 -70443
uBench  | BENCH: 2470381 -100060
uBench  | BENCH: 2644500 44442
uBench  | BENCH: 2472206 16650
uBench  | BENCH: 2471794 -11554
uBench  | BENCH: 2518969 7417
uBench  | BENCH: 2470006 -22575
uBench  | BENCH: 2470094 -52479
uBench  | BENCH: 2466112 -86365
uBench  | BENCH: 2589094 2731
uBench  | BENCH: 2470081 -27186
uBench  | BENCH: 2467875 -59309
uBench  | BENCH: 2469638 -89669
uBench  | BENCH: 2675406 85739
uBench  | BENCH: 2352925 -61334
uBench  | BENCH: 2644394 83062
uBench  | BENCH: 2352093 -64843
uBench  | BENCH: 2559938 -4903
uBench  | BENCH: 2470194 -34707
uBench  | BENCH: 2468981 -65724
uBench  | BENCH: 2468044 -97678
uBench  | BENCH: 2521700 -75976
uBench  | BENCH: 2645425 69451
uBench  | BENCH: 2352175 -78372
uBench  | BENCH: 2590225 11855
uBench  | BENCH: 2470618 -17525
uBench  | BENCH: 2469363 -48160
uBench  | BENCH: 2467112 -81046
uBench  | BENCH: 2644788 63744
uBench  | BENCH: 2351325 -84929
uBench  | BENCH: 2591412 6485
uBench  | BENCH: 2470707 -22806
uBench  | BENCH: 2470768 -52036
uBench  | BENCH: 2467213 -84821
uBench  | BENCH: 2589900 5081
uBench  | BENCH: 2471225 -23692
uBench  | BENCH: 2470606 -53084
uBench  | BENCH: 2518975 -34107
uBench  | BENCH: 2466813 -67292
uBench  | BENCH: 2469762 -97528
uBench  | BENCH: 2674550 77024
uBench  | BENCH: 2352031 -70943
uBench  | BENCH: 2558738 -12203
uBench  | BENCH: 2469131 -43070
uBench  | BENCH: 2466094 -76974
uBench  | BENCH: 2590575 13603
uBench  | BENCH: 2469987 -16408
uBench  | BENCH: 2469850 -46556
uBench  | BENCH: 2465557 -80997
uBench  | BENCH: 2937200 356205
uBench  | BENCH: 2472387 328594
uBench  | BENCH: 2124194 -47210
uBench  | BENCH: 2466487 -80721
uBench  | BENCH: 2519475 -61244
uBench  | BENCH: 2467444 -93798
uBench  | BENCH: 2590513 -3283
uBench  | BENCH: 2469593 -33688
uBench  | BENCH: 2467513 -66173
uBench  | BENCH: 2468406 -97765
uBench  | BENCH: 2589369 -8394
uBench  | BENCH: 2469475 -38917
uBench  | BENCH: 2468669 -70246
uBench  | BENCH: 2589556 19312
uBench  | BENCH: 2816069 335383
uBench  | BENCH: 2473237 308622
uBench  | BENCH: 2123850 -67526
uBench  | BENCH: 2468119 -99405
uBench  | BENCH: 2645525 46122
uBench  | BENCH: 2470175 16299
uBench  | BENCH: 2411287 -72412
uBench  | BENCH: 2588819 16409
uBench  | BENCH: 2470138 -13451
uBench  | BENCH: 2469562 -43887
uBench  | BENCH: 2466713 -77172
uBench  | BENCH: 2590031 12861
uBench  | BENCH: 2470469 -16668
uBench  | BENCH: 2470387 -46279
uBench  | BENCH: 2465519 -80758
uBench  | BENCH: 2590619 9863
uBench  | BENCH: 2470006 -20129
uBench  | BENCH: 2469175 -50952
uBench  | BENCH: 2466150 -84800
uBench  | BENCH: 2590206 5408
uBench  | BENCH: 2469213 -25377
uBench  | BENCH: 2469356 -56019
uBench  | BENCH: 2519375 -36642
uBench  | BENCH: 2468394 -68246
uBench  | BENCH: 2469393 -98851
uBench  | BENCH: 2590782 -8067
uBench  | BENCH: 2470356 -37709
uBench  | BENCH: 2468281 -69426
uBench  | BENCH: 2644081 74657
uBench  | BENCH: 2350907 -74434
uBench  | BENCH: 2590768 16336
uBench  | BENCH: 2471644 -12018
uBench  | BENCH: 2470463 -41553
uBench  | BENCH: 2465837 -75714
uBench  | BENCH: 2589238 13526
uBench  | BENCH: 2556293 69821
uBench  | BENCH: 2351682 -78495
uBench  | BENCH: 2675012 96519
uBench  | BENCH: 2404156 677
uBench  | BENCH: 2470894 -28427
uBench  | BENCH: 2467963 -60462
uBench  | BENCH: 2469668 -90792
uBench  | BENCH: 2645275 54485
uBench  | BENCH: 2351463 -94050
uBench  | BENCH: 2589912 -4136
uBench  | BENCH: 2469275 -34859
uBench  | BENCH: 2469032 -65825
uBench  | BENCH: 2467743 -98080
uBench  | BENCH: 2590038 -8040
uBench  | BENCH: 2469687 -38351
uBench  | BENCH: 2468425 -69924
uBench  | BENCH: 2587763 17841
uBench  | BENCH: 2469950 -12207
uBench  | BENCH: 2468506 -43699
uBench  | BENCH: 2520244 -23453
uBench  | BENCH: 2469987 -53464
uBench  | BENCH: 2465750 -87712
uBench  | BENCH: 2590482 2772
uBench  | BENCH: 2469506 -27720
uBench  | BENCH: 2467112 -60606
uBench  | BENCH: 2468257 -92347
uBench  | BENCH: 2590175 -2170
uBench  | BENCH: 2468950 -33218
uBench  | BENCH: 2467068 -66148
uBench  | BENCH: 2469500 -96646
uBench  | BENCH: 2589032 -7612
uBench  | BENCH: 2469737 -37873
uBench  | BENCH: 2467250 -70621
uBench  | BENCH: 2588863 18244
uBench  | BENCH: 2469406 -12348
uBench  | BENCH: 2518931 6585
uBench  | BENCH: 2469713 -23700
uBench  | BENCH: 2471006 -52692
uBench  | BENCH: 2465575 -87115
uBench  | BENCH: 2589300 2187
uBench  | BENCH: 2469812 -27999
uBench  | BENCH: 2467888 -60109
uBench  | BENCH: 2468644 -91463
uBench  | BENCH: 2589256 -2205
uBench  | BENCH: 2469762 -32441
uBench  | BENCH: 2467269 -65170
uBench  | BENCH: 2467744 -97424
uBench  | BENCH: 2590856 -6566
uBench  | BENCH: 2468994 -37570
uBench  | BENCH: 2467844 -69724
uBench  | BENCH: 2935281 365559
uBench  | BENCH: 2055181 -79258
uBench  | BENCH: 2593175 13919
uBench  | BENCH: 2470519 -15560
uBench  | BENCH: 2817412 301854
uBench  | BENCH: 2122338 -75806
uBench  | BENCH: 2592412 16608
uBench  | BENCH: 2470313 -13077
uBench  | BENCH: 2468962 -44113
uBench  | BENCH: 2467269 -76842
uBench  | BENCH: 2589519 12679
uBench  | BENCH: 2470481 -16838
uBench  | BENCH: 2469769 -47067
uBench  | BENCH: 2465450 -81615
uBench  | BENCH: 2589662 8049
uBench  | BENCH: 2470113 -21836
uBench  | BENCH: 2470031 -51803
uBench  | BENCH: 2518988 -32813
uBench  | BENCH: 2467662 -65149
uBench  | BENCH: 2469069 -96078
uBench  | BENCH: 2589700 -6376
uBench  | BENCH: 2554756 48382
uBench  | BENCH: 2556300 104684
uBench  | BENCH: 2355431 -39883
uBench  | BENCH: 2465838 -74043
uBench  | BENCH: 2589200 15159
uBench  | BENCH: 2469725 -15114
uBench  | BENCH: 2470912 -44200
uBench  | BENCH: 2466525 -77673
uBench  | BENCH: 2591619 13948
uBench  | BENCH: 2470631 -15419
uBench  | BENCH: 2471444 -43973
uBench  | BENCH: 2466194 -77777
uBench  | BENCH: 2523225 -54550
uBench  | BENCH: 2466087 -88461
uBench  | BENCH: 2591169 2710
uBench  | BENCH: 2470238 -27050
uBench  | BENCH: 2469043 -58005
uBench  | BENCH: 2468044 -89959
uBench  | BENCH: 2645656 55699
uBench  | BENCH: 2349750 -94549
uBench  | BENCH: 2590650 -3897
uBench  | BENCH: 2468513 -35382
uBench  | BENCH: 2468581 -66799
uBench  | BENCH: 2468594 -98203
uBench  | BENCH: 2590031 -8170
uBench  | BENCH: 2468550 -39618
uBench  | BENCH: 2468688 -70928
uBench  | BENCH: 2588318 17392
uBench  | BENCH: 2399544 -83062
uBench  | BENCH: 2591081 8021
uBench  | BENCH: 2470588 -21389
uBench  | BENCH: 2470462 -50925
uBench  | BENCH: 2467707 -83216
uBench  | BENCH: 2674475 91261
uBench  | BENCH: 2440925 32188
uBench  | BENCH: 2472037 4227
uBench  | BENCH: 2470706 -25065
uBench  | BENCH: 2469775 -55288
uBench  | BENCH: 2466250 -89036
uBench  | BENCH: 2589313 279
uBench  | BENCH: 2469894 -29825
uBench  | BENCH: 2467775 -62048
uBench  | BENCH: 2468031 -94015
uBench  | BENCH: 2590112 -3901
uBench  | BENCH: 2517088 13189
uBench  | BENCH: 2819500 332691
uBench  | BENCH: 2471431 304124
uBench  | BENCH: 2121825 -74049
uBench  | BENCH: 2589638 15591
uBench  | BENCH: 2471787 -12620
uBench  | BENCH: 2469781 -42837
uBench  | BENCH: 2466963 -75872
uBench  | BENCH: 2590925 15055
uBench  | BENCH: 2817719 332776
uBench  | BENCH: 2472925 305703
uBench  | BENCH: 2122281 -72014
uBench  | BENCH: 2589381 17369
uBench  | BENCH: 2471013 -11616
uBench  | BENCH: 2469506 -42108
uBench  | BENCH: 2465081 -77025
uBench  | BENCH: 2523919 -53104
uBench  | BENCH: 2466300 -86802
uBench  | BENCH: 2589881 3081
uBench  | BENCH: 2469606 -27311
uBench  | BENCH: 2467175 -60134
uBench  | BENCH: 2468544 -91588
uBench  | BENCH: 2590250 -1336
uBench  | BENCH: 2468638 -32696
uBench  | BENCH: 2468856 -63838
uBench  | BENCH: 2467387 -96449
uBench  | BENCH: 2591100 -5347
uBench  | BENCH: 2815513 310168
uBench  | BENCH: 2123006 -66824
uBench  | BENCH: 2470400 -96422
uBench  | BENCH: 2590450 -5970
uBench  | BENCH: 2470025 -35943
uBench  | BENCH: 2519856 -16085
uBench  | BENCH: 2555094 39011
uBench  | BENCH: 2471063 10076
uBench  | BENCH: 2469662 -20260
uBench  | BENCH: 2470419 -49839
uBench  | BENCH: 2467194 -82643
uBench  | BENCH: 2674756 92115
uBench  | BENCH: 2440094 32211
uBench  | BENCH: 2471400 3613
uBench  | BENCH: 2470337 -26048
uBench  | BENCH: 2470569 -55477
uBench  | BENCH: 2467281 -88194
uBench  | BENCH: 2674838 86646
uBench  | BENCH: 2352881 -60471
uBench  | BENCH: 2468356 -92113
uBench  | BENCH: 2675831 83720
uBench  | BENCH: 2488069 71791
uBench  | BENCH: 2351600 -76607
uBench  | BENCH: 2589838 13233
uBench  | BENCH: 2817737 330972
uBench  | BENCH: 2125025 -44001
uBench  | BENCH: 2466731 -77268
uBench  | BENCH: 2592788 15522
uBench  | BENCH: 2817350 332874
uBench  | BENCH: 2471787 304663
uBench  | BENCH: 2121188 -74147
uBench  | BENCH: 2675731 101586
uBench  | BENCH: 2354888 -43524
uBench  | BENCH: 2466625 -76897
uBench  | BENCH: 2937618 360723
uBench  | BENCH: 2472469 333194
uBench  | BENCH: 2124750 -42054
uBench  | BENCH: 2605888 63836
uBench  | BENCH: 2350768 -85394
uBench  | BENCH: 2590375 4983
uBench  | BENCH: 2816738 321723
uBench  | BENCH: 2472706 294431
uBench  | BENCH: 2122050 -83517
uBench  | BENCH: 2591663 8148
uBench  | BENCH: 2470481 -21369
uBench  | BENCH: 2817050 295683
uBench  | BENCH: 2121812 -82503
uBench  | BENCH: 2937294 354793
uBench  | BENCH: 2472056 326851
uBench  | BENCH: 2212032 38885
uBench  | BENCH: 2818825 357712
uBench  | BENCH: 2472731 330445
uBench  | BENCH: 2124381 -45172
uBench  | BENCH: 2520619 -24551
uBench  | BENCH: 2469412 -55137
uBench  | BENCH: 2467569 -87566
uBench  | BENCH: 2589863 2299
uBench  | BENCH: 2471600 -26099
uBench  | BENCH: 2467531 -58566
uBench  | BENCH: 2559594 1030
uBench  | BENCH: 2554981 56013
uBench  | BENCH: 2351675 -92310
uBench  | BENCH: 2644581 52273
uBench  | BENCH: 2352263 -95462
uBench  | BENCH: 2558912 -36548
uBench  | BENCH: 2469788 -66758
uBench  | BENCH: 2643756 77000
uBench  | BENCH: 2352894 -70104
uBench  | BENCH: 2588262 18160
uBench  | BENCH: 2399344 -82494
uBench  | BENCH: 2559894 -22598
uBench  | BENCH: 2471006 -51590
uBench  | BENCH: 2466512 -85076
uBench  | BENCH: 2645694 60620
uBench  | BENCH: 2351331 -88047
uBench  | BENCH: 2675913 87868
uBench  | BENCH: 2352856 -59274
uBench  | BENCH: 2559200 -72
uBench  | BENCH: 2471294 -28776
uBench  | BENCH: 2467737 -61037
uBench  | BENCH: 2471494 -89541
uBench  | BENCH: 2592375 2836
uBench  | BENCH: 2556131 58969
uBench  | BENCH: 2351244 -89785
uBench  | BENCH: 2560981 -28802
uBench  | BENCH: 2518325 -10475
uBench  | BENCH: 2469338 -41135
uBench  | BENCH: 2465806 -75327
uBench  | BENCH: 2590506 15181
uBench  | BENCH: 2554332 69515
uBench  | BENCH: 2351375 -79108
uBench  | BENCH: 2560243 -18863
uBench  | BENCH: 2470625 -48236
uBench  | BENCH: 2467794 -80440
uBench  | BENCH: 2589431 8993
uBench  | BENCH: 2471163 -19842
uBench  | BENCH: 2468712 -51128
uBench  | BENCH: 2467250 -83876
uBench  | BENCH: 2590200 6326
uBench  | BENCH: 2469888 -23784
uBench  | BENCH: 2469500 -54282
uBench  | BENCH: 2518969 -35311
uBench  | BENCH: 2466981 -68328
uBench  | BENCH: 2469919 -98407
uBench  | BENCH: 2674956 76551
uBench  | BENCH: 2353525 -69922
uBench  | BENCH: 2558150 -11770
uBench  | BENCH: 2469887 -41881
uBench  | BENCH: 2465132 -76747
uBench  | BENCH: 2645456 68711
uBench  | BENCH: 2351281 -80006
uBench  | BENCH: 2590031 10027
uBench  | BENCH: 2469694 -20277
uBench  | BENCH: 2556050 35775
uBench  | BENCH: 2556663 92440
uBench  | BENCH: 2354756 -52802
uBench  | BENCH: 2467019 -85781
uBench  | BENCH: 2490343 -95436
uBench  | BENCH: 2559963 -35471
uBench  | BENCH: 2469500 -65969
uBench  | BENCH: 2468425 -97542
uBench  | BENCH: 2591437 -6103
uBench  | BENCH: 2816894 310793
uBench  | BENCH: 2123306 -65899
uBench  | BENCH: 2471163 -94734
uBench  | BENCH: 2590994 -3738
uBench  | BENCH: 2816662 312926
uBench  | BENCH: 2122756 -64316
uBench  | BENCH: 2471163 -93151
uBench  | BENCH: 2590975 -2174
uBench  | BENCH: 2470531 -31641
uBench  | BENCH: 2467994 -63645
uBench  | BENCH: 2471356 -92287
uBench  | BENCH: 2522644 -69641
uBench  | BENCH: 2588975 19336
uBench  | BENCH: 2470337 -10325
uBench  | BENCH: 2469569 -40754
uBench  | BENCH: 2466625 -74127
uBench  | BENCH: 2588769 14644
uBench  | BENCH: 2469606 -15748
uBench  | BENCH: 2469688 -46058
uBench  | BENCH: 2466787 -79269
uBench  | BENCH: 2589375 10108
uBench  | BENCH: 2469869 -20021
uBench  | BENCH: 2469006 -51013
uBench  | BENCH: 2467225 -83786
uBench  | BENCH: 2644969 61185
uBench  | BENCH: 2351069 -87744
uBench  | BENCH: 2590037 2295
uBench  | BENCH: 2863800 366097
uBench  | BENCH: 2472450 338549
uBench  | BENCH: 2123850 -37599
uBench  | BENCH: 2468094 -69503
uBench  | BENCH: 2934362 364861
uBench  | BENCH: 2473488 338351
uBench  | BENCH: 2471287 309640
uBench  | BENCH: 2122594 -67764
uBench  | BENCH: 2472538 -95224
uBench  | BENCH: 2589537 -5685
uBench  | BENCH: 2470481 -35202
uBench  | BENCH: 2468500 -66700
uBench  | BENCH: 2469725 -96973
uBench  | BENCH: 2676113 79142
uBench  | BENCH: 2351700 -69156
uBench  | BENCH: 2644819 75665
uBench  | BENCH: 2490156 65823
uBench  | BENCH: 2350581 -83594
uBench  | BENCH: 2589794 6202
uBench  | BENCH: 2471069 -22727
uBench  | BENCH: 2556506 33781
uBench  | BENCH: 2556719 90502
uBench  | BENCH: 2355081 -54415
uBench  | BENCH: 2467150 -87263
uBench  | BENCH: 2590187 2926
uBench  | BENCH: 2470532 -26540
uBench  | BENCH: 2467637 -58901
uBench  | BENCH: 2468544 -90355
uBench  | BENCH: 2590356 3
uBench  | BENCH: 2470306 -29689
uBench  | BENCH: 2468675 -61012
uBench  | BENCH: 2469657 -91353
uBench  | BENCH: 2695456 104105
uBench  | BENCH: 2355075 -40818
uBench  | BENCH: 2466669 -74147
uBench  | BENCH: 2591293 17148
uBench  | BENCH: 2471013 -11837
uBench  | BENCH: 2468831 -43004
uBench  | BENCH: 2466000 -77002
uBench  | BENCH: 2589513 12513
uBench  | BENCH: 2469700 -17785
uBench  | BENCH: 2554587 36804
uBench  | BENCH: 2556294 93100
uBench  | BENCH: 2354381 -52517
uBench  | BENCH: 2466969 -85546
uBench  | BENCH: 2644537 58993
uBench  | BENCH: 2351657 -89348
uBench  | BENCH: 2936750 347404
uBench  | BENCH: 2053950 -98644
uBench  | BENCH: 2938200 339558
uBench  | BENCH: 2130087 -30353
uBench  | BENCH: 2463294 -67057
uBench  | BENCH: 2470331 -96724
uBench  | BENCH: 2589750 -6972
uBench  | BENCH: 2470875 -36095
uBench  | BENCH: 2468188 -67905
uBench  | BENCH: 2470306 -97597
uBench  | BENCH: 2590119 -7476
uBench  | BENCH: 2469031 -38443
uBench  | BENCH: 2468275 -70166
uBench  | BENCH: 2589056 18892
uBench  | BENCH: 2471275 -9831
uBench  | BENCH: 2470194 -39635
uBench  | BENCH: 2468062 -71571
uBench  | BENCH: 2486713 -84856
uBench  | BENCH: 2590906 6052
uBench  | BENCH: 2469519 -24427
uBench  | BENCH: 2470825 -53600
uBench  | BENCH: 2467369 -86229
uBench  | BENCH: 2560012 -26215
uBench  | BENCH: 2467606 -58607
uBench  | BENCH: 2468519 -90086
uBench  | BENCH: 2676031 85947
uBench  | BENCH: 2352950 -61101
uBench  | BENCH: 2559100 -1999
uBench  | BENCH: 2471144 -30853
uBench  | BENCH: 2469538 -61313
uBench  | BENCH: 2468193 -93118
uBench  | BENCH: 2589650 -3466
uBench  | BENCH: 2555519 52055
uBench  | BENCH: 2403063 -44880
uBench  | BENCH: 2466431 -78447
uBench  | BENCH: 2590575 12130
uBench  | BENCH: 2555456 67588
uBench  | BENCH: 2351644 -80766
uBench  | BENCH: 2591069 10305
uBench  | BENCH: 2470068 -19625
uBench  | BENCH: 2470375 -49248
uBench  | BENCH: 2466050 -83196
uBench  | BENCH: 2644632 61438
uBench  | BENCH: 2352368 -86192
uBench  | BENCH: 2559388 -26802
uBench  | BENCH: 2469400 -57400
uBench  | BENCH: 2558756 1358
uBench  | BENCH: 2470969 -27671
uBench  | BENCH: 2467194 -60475
uBench  | BENCH: 2607293 46820
uBench  | BENCH: 2472125 18947
uBench  | BENCH: 2470088 -10963
uBench  | BENCH: 2555469 44508
uBench  | BENCH: 2471656 16166
uBench  | BENCH: 2556206 72374
uBench  | BENCH: 2350419 -77205
uBench  | BENCH: 2560925 -16278
uBench  | BENCH: 2555031 38755
uBench  | BENCH: 2471500 10257
uBench  | BENCH: 2556163 66422
uBench  | BENCH: 2350462 -83114
uBench  | BENCH: 2675094 91982
uBench  | BENCH: 2440669 32653
uBench  | BENCH: 2469925 2580
uBench  | BENCH: 2470687 -26731
uBench  | BENCH: 2518931 -7798
uBench  | BENCH: 2470038 -37758
uBench  | BENCH: 2467769 -69987
uBench  | BENCH: 2588325 18340
uBench  | BENCH: 2470231 -11427
uBench  | BENCH: 2468787 -42638
uBench  | BENCH: 2467363 -75273
uBench  | BENCH: 2589300 14029
uBench  | BENCH: 2469919 -16050
uBench  | BENCH: 2815487 299439
uBench  | BENCH: 2122625 -77934
uBench  | BENCH: 2677481 99549
uBench  | BENCH: 2354250 -46199
uBench  | BENCH: 2467169 -79028
uBench  | BENCH: 2560900 -18126
uBench  | BENCH: 2554688 36564
uBench  | BENCH: 2402462 -60972
uBench  | BENCH: 2559481 -1489
uBench  | BENCH: 2555413 53926
uBench  | BENCH: 2351512 -94560
uBench  | BENCH: 2589363 -5195
uBench  | BENCH: 2471200 -33993
uBench  | BENCH: 2468187 -65804
uBench  | BENCH: 2559194 -6608
uBench  | BENCH: 2555425 48819
uBench  | BENCH: 2352056 -99123
uBench  | BENCH: 2559625 -39496
uBench  | BENCH: 2467850 -71644
uBench  | BENCH: 2588925 17283
uBench  | BENCH: 2470075 -12640
uBench  | BENCH: 2554457 41819
uBench  | BENCH: 2556818 98639
uBench  | BENCH: 2402469 1110
uBench  | BENCH: 2469419 -29469
uBench  | BENCH: 2468325 -61142
uBench  | BENCH: 2468756 -92384
uBench  | BENCH: 2589444 -2938
uBench  | BENCH: 2470369 -32567
uBench  | BENCH: 2468543 -64022
uBench  | BENCH: 2468632 -95388
uBench  | BENCH: 2590681 -4705
uBench  | BENCH: 2470669 -34034
uBench  | BENCH: 2469162 -64870
uBench  | BENCH: 2467844 -97024
uBench  | BENCH: 2645131 48109
uBench  | BENCH: 2472625 20736
uBench  | BENCH: 2469563 -9699
uBench  | BENCH: 2470431 -39266
uBench  | BENCH: 2519844 -19420
uBench  | BENCH: 2470906 -48512
uBench  | BENCH: 2466556 -81954
uBench  | BENCH: 2590638 8686
uBench  | BENCH: 2470931 -20381
uBench  | BENCH: 2469319 -51060
uBench  | BENCH: 2468100 -82958
uBench  | BENCH: 2906831 323875
uBench  | BENCH: 2472125 296002
uBench  | BENCH: 2121481 -82515
uBench  | BENCH: 2591306 8793
uBench  | BENCH: 2470475 -20730
uBench  | BENCH: 2470607 -50121
uBench  | BENCH: 2465856 -84263
uBench  | BENCH: 2591494 7233
uBench  | BENCH: 2556681 63916
uBench  | BENCH: 2488525 52443
uBench  | BENCH: 2351219 -96336
uBench  | BENCH: 2589675 -6659
uBench  | BENCH: 2470381 -36276
uBench  | BENCH: 2468519 -67755
uBench  | BENCH: 2674168 106415
uBench  | BENCH: 2440463 46880
uBench  | BENCH: 2471550 18432
uBench  | BENCH: 2470081 -11485
uBench  | BENCH: 2471081 -40402
uBench  | BENCH: 2467244 -73156
uBench  | BENCH: 2590038 16884
uBench  | BENCH: 2555450 72336
uBench  | BENCH: 2350562 -77100
uBench  | BENCH: 2590438 13340
uBench  | BENCH: 2556093 69435
uBench  | BENCH: 2488000 57437
uBench  | BENCH: 2351007 -91554
uBench  | BENCH: 2591093 -459
uBench  | BENCH: 2554907 54450
uBench  | BENCH: 2351975 -93573
uBench  | BENCH: 2590031 -3540
uBench  | BENCH: 2554800 51262
uBench  | BENCH: 2351112 -97624
uBench  | BENCH: 2675825 78203
uBench  | BENCH: 2353400 -68395
uBench  | BENCH: 2469600 -98793
uBench  | BENCH: 2591400 -7391
uBench  | BENCH: 2554575 47186
uBench  | BENCH: 2472057 19245
uBench  | BENCH: 2470150 -10603
uBench  | BENCH: 2470100 -40501
uBench  | BENCH: 2520100 -20399
uBench  | BENCH: 2470512 -49885
uBench  | BENCH: 2466025 -83858
uBench  | BENCH: 2646269 62413
uBench  | BENCH: 2351494 -86091
uBench  | BENCH: 2906837 320748
uBench  | BENCH: 2126281 -52969
uBench  | BENCH: 2465913 -87054
uBench  | BENCH: 2592369 5317
uBench  | BENCH: 2470087 -24594
uBench  | BENCH: 2556706 32114
uBench  | BENCH: 2472019 4135
uBench  | BENCH: 2555306 59443
uBench  | BENCH: 2351525 -89030
uBench  | BENCH: 2590407 1379
uBench  | BENCH: 2470868 -27751
uBench  | BENCH: 2520744 -7005
uBench  | BENCH: 2470756 -36247
uBench  | BENCH: 2469113 -67132
uBench  | BENCH: 2644175 77045
uBench  | BENCH: 2351875 -71078
uBench  | BENCH: 2589625 18549
uBench  | BENCH: 2469187 -12262
uBench  | BENCH: 2471169 -41091
uBench  | BENCH: 2467331 -73758
uBench  | BENCH: 2675157 101401
uBench  | BENCH: 2440550 41953
uBench  | BENCH: 2556087 98042
uBench  | BENCH: 2441044 39088
uBench  | BENCH: 2471131 10221
uBench  | BENCH: 2469931 -19846
uBench  | BENCH: 2469338 -50506
uBench  | BENCH: 2517825 -32679
uBench  | BENCH: 2467287 -65390
uBench  | BENCH: 2469907 -95481
uBench  | BENCH: 2592250 -3229
uBench  | BENCH: 2817450 314223
uBench  | BENCH: 2123087 -62688
uBench  | BENCH: 2559650 -3036
uBench  | BENCH: 2469600 -33434
uBench  | BENCH: 2467988 -65444
uBench  | BENCH: 2470968 -94474
uBench  | BENCH: 2591619 -2853
uBench  | BENCH: 2816138 313287
uBench  | BENCH: 2124231 -62480
uBench  | BENCH: 2471469 -91009
uBench  | BENCH: 2938543 347536
uBench  | BENCH: 2126200 -26262
uBench  | BENCH: 2518500 -7760
uBench  | BENCH: 2468569 -39189
uBench  | BENCH: 2468494 -70693
uBench  | BENCH: 2588362 17671
uBench  | BENCH: 2469932 -12395
uBench  | BENCH: 2469862 -42531
uBench  | BENCH: 2466000 -76529
uBench  | BENCH: 2589838 13311
uBench  | BENCH: 2469693 -16994
uBench  | BENCH: 2469275 -47717
uBench  | BENCH: 2467300 -80415
uBench  | BENCH: 2589550 9137
uBench  | BENCH: 2469088 -21773
uBench  | BENCH: 2469812 -51959
uBench  | BENCH: 2467594 -84363
uBench  | BENCH: 2590738 6377
uBench  | BENCH: 2398650 -94971
uBench  | BENCH: 2591100 -3869
uBench  | BENCH: 2469675 -34192
uBench  | BENCH: 2468156 -66034
uBench  | BENCH: 2469869 -96163
uBench  | BENCH: 2590181 -5980
uBench  | BENCH: 2554487 48509
uBench  | BENCH: 2555788 104299
uBench  | BENCH: 2354719 -40980
uBench  | BENCH: 2466000 -74978
uBench  | BENCH: 2589306 14330
uBench  | BENCH: 2471106 -14562
uBench  | BENCH: 2469069 -45491
uBench  | BENCH: 2465737 -79752
uBench  | BENCH: 2561332 -18418
uBench  | BENCH: 2470156 -48260
uBench  | BENCH: 2603737 55479
uBench  | BENCH: 2351069 -93450
uBench  | BENCH: 2676631 83183
uBench  | BENCH: 2351863 -64952
uBench  | BENCH: 2470075 -94875
uBench  | BENCH: 2558937 -35936
uBench  | BENCH: 2468607 -67327
uBench  | BENCH: 2469675 -97650
uBench  | BENCH: 2937125 339477
uBench  | BENCH: 2471912 311391
uBench  | BENCH: 2123419 -65188
uBench  | BENCH: 2645069 79883
uBench  | BENCH: 2353193 -66922
uBench  | BENCH: 2468138 -98782
uBench  | BENCH: 2939450 340670
uBench  | BENCH: 2126175 -33153
uBench  | BENCH: 2602962 69811
uBench  | BENCH: 2350475 -79712
uBench  | BENCH: 2939744 360034
uBench  | BENCH: 2211156 71192
uBench  | BENCH: 2350057 -78749
uBench  | BENCH: 2590262 11515
uBench  | BENCH: 2469913 -18570
uBench  | BENCH: 2470650 -47918
uBench  | BENCH: 2467062 -80854
uBench  | BENCH: 2591544 10692
uBench  | BENCH: 2470344 -18962
uBench  | BENCH: 2555162 36202
uBench  | BENCH: 2557131 93335
uBench  | BENCH: 2440550 33887
uBench  | BENCH: 2555857 89746
uBench  | BENCH: 2352775 -57477
uBench  | BENCH: 2521962 -35513
uBench  | BENCH: 2466644 -68867
uBench  | BENCH: 2588325 19460
uBench  | BENCH: 2556050 75512
uBench  | BENCH: 2351519 -72967
uBench  | BENCH: 2675468 102503
uBench  | BENCH: 2441082 43587
uBench  | BENCH: 2471268 14857
uBench  | BENCH: 2554469 69328
uBench  | BENCH: 2351831 -78839
uBench  | BENCH: 2589969 11132
uBench  | BENCH: 2468975 -19891
uBench  | BENCH: 2556038 36149
uBench  | BENCH: 2556350 92501
uBench  | BENCH: 2356412 -51085
uBench  | BENCH: 2465700 -85383
uBench  | BENCH: 2523263 -62118
uBench  | BENCH: 2468000 -94116
